,precision,recall,f1-score,support
Administrativas,0.32335055357762194,0.6516390853969402,0.43222584235361977,388700.3218222686
Artisticas,0.2424666933596752,0.13427195709132927,0.17283322222390787,388699.44607198506
Cientificas,0.17906289862750416,0.03917068319179136,0.06427989693492406,388697.8666667377
Comercio,0.38345416354706385,0.6542098965758275,0.48350813778013196,388694.04413609806
Construccion,0.45784844441319555,0.8929357710347476,0.6053213371220536,388694.1460372787
Educacion,0.3472365457445843,0.4129978098598822,0.3772729602092231,388701.34140282084
Extractivas,0.2823049557641297,0.10495363040046023,0.15301884087803833,388695.9128805364
Finanzas,0.24165290434720224,0.13810741687979478,0.175763799088127,388717.7499275384
Hosteleria,0.42048925745078103,0.8475123369164789,0.5620968219810748,388701.808075883
Paro,0.43353374570310543,0.4168060970753806,0.4250053905660733,388697.8522128921
Primario,0.5047676401029807,0.3282714438248229,0.3978223956344759,388707.0897558342
Publica,0.2409093067098743,0.09006589163556362,0.13111382134128646,388701.12936121016
Sanidad,0.3017643035621004,0.3490920006003408,0.3237074105806632,388695.53321005224
Teleco,0.23287037362068766,0.1836850304489763,0.20537388904947165,388686.8572668794
Transporte,0.27955084026136795,0.13317502085869737,0.18040637861577458,388692.87734801427
accuracy,0.35845915760674685,0.35845915760674685,0.35845915760674685,0.35845915760674685
macro avg,0.32475084178612496,0.3584596047860689,0.31265000962392314,5830483.976176029
weighted avg,0.32475096339554477,0.3584591576080182,0.31264986131021244,5830483.976176029
